,sentence,sentiment,sentimentprob
0,15.03.2022 обратился на горячую линию для закрытия счет по кредиту и получения справки о закрытии и состоянии счетов на 21.12.2021,+,0.4823293715154486
1,"Уже который год в ТКБ не решается ""глобальная проблема"" отправки банальной справки об остатке на счёте при запросе в приложении, веб версии и т.п",−,0.8068463051359435
2,Добрый день,?,0.5043996658170059
3,"Добрый день Сегодня, зайдя в свой личный кабинет я обнаружила, что из него пропала вся информация по всем моим счетам",?,0.4383467507795981
4,"Обслуживаюсь в Тинькофф пару лет, возникла жесточайшая потребность в получении квалифицированного инвестора с возможной последующей покупкой акций акционерного общества",+,0.5397529452958983
5,"В начале месяца прогремела новость о том, что начиная с 23го июня банк начнет снимать комиссию 12% годовых с валютных счетов",−,0.6968384536544763
6,Оставляю отзыв о работе персонального менеджера- Т-ч Никита,−,0.541775364446239
7,После введенных ЦБ ограничений выдача наличных долларов осуществляется банком по заявке не менее чем за 20 дней,−,0.6618725950036174
8,"Захожу на сайт ВТБ, вхожу в личный кабинет, но не могу получить инфу о движении средств на карте..",−,0.7056771296852569
9,"Банк замечательно и быстро выдает кредит- тут все налажено ( являюсь клиентом банка с 2008 года - знаю), но вот потом - вы для банка- никто и на ваши запросы можно не отвечать",+,0.4481225314343452
10,Отвратительная работа банка,−,0.8752443789700123
11,"Когда открыл первое ИП для работы, выбрал Сбербанк, который на тот момент давал такие же условия на рынке, как и другие банки",+,0.5215920307452673
12,"Итак, погнали! Несколько лет я пользовался продуктами банка и не понимал почему такая дурная слава ходит",−,0.767277305932512
13,11 июля на мою почту от ТБ поступило письмо о штрафе в 1000 руб ГИБДД,−,0.6102400887430336
14,"Пользуюсь услугами банка больше 7 лет (2 разных карты, накопительные счета и тд.) и всегда сервис был на высоте, всем рекомендовала, что все четко и быстро решается",+,0.9661722469105244
15,"Хочу сказать большое спасибо сотруднику банка П-му Артему Александровичу за помощь и неравнодушие,у меня возникли большие трудности с оплатой кредита, он вник в ситуацию и очень помог и продолжает помогать!Он всегда общается очень вежливо и с...",+,0.9943783464371924
16,"12 октября стала клиентом ВТБ, для того, чтобы открыть вклад ""Надёжная основа"" на 370 дней под 8,3% годовых",?,0.4585791531081713
17,Пользуюсь кредитной картой Альфа-Банка уже как пару лет,+,0.6570497631855426
18,"Сбербанк уже 2й раз списывает автоматически с карты алименты в погашение кредита! Карту отвязать с автоплатежа не получается, т.к",−,0.6671168560409363
19,"Здравствуйте, 17 июля столкнулась с неприятной ситуацией на Яровом и их картой ""причал""",−,0.8424015983285713
